CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Churn
CUST-12957,Male,0,Yes,Yes,28,Yes,Fiber optic,Two year,Electronic check,No,68.28,1929.46,No
CUST-13619,Male,0,Yes,Yes,71,Yes,DSL,Month-to-month,Credit card (automatic),Yes,60.44,4300.95,Yes
CUST-11032,Male,0,No,No,32,Yes,Fiber optic,Month-to-month,Mailed check,No,90.19,2882.08,Yes
CUST-12305,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,Mailed check,Yes,67.61,609.64,Yes
CUST-12319,Male,0,Yes,No,9,Yes,Fiber optic,Month-to-month,Credit card (automatic),No,89.63,839.28,Yes
CUST-10788,Female,1,Yes,Yes,57,Yes,DSL,Month-to-month,Electronic check,Yes,68.71,3899.09,No
CUST-12464,Male,0,No,No,5,No,Fiber optic,Month-to-month,Electronic check,Yes,73.6,381.28,Yes
CUST-14392,Female,1,Yes,Yes,38,Yes,Fiber optic,Month-to-month,Electronic check,Yes,58.33,2197.83,Yes
CUST-12844,Female,1,No,No,19,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,63.23,1199.63,Yes
CUST-14993,Male,0,Yes,Yes,17,Yes,DSL,Month-to-month,Bank transfer (automatic),Yes,41.93,717.97,No
CUST-13762,Male,0,No,No,0,Yes,DSL,Two year,Electronic check,Yes,62.7,0.0,No
CUST-11526,Male,0,No,No,64,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,93.05,5950.76,No
CUST-12307,Female,1,No,No,11,Yes,Fiber optic,Month-to-month,Mailed check,Yes,86.1,937.39,Yes
CUST-12894,Male,0,Yes,No,1,Yes,No,Month-to-month,Mailed check,No,40.88,72.02,No
CUST-10915,Female,0,Yes,No,67,Yes,DSL,Two year,Mailed check,Yes,63.73,4257.35,No
CUST-12534,Female,0,No,No,47,Yes,DSL,Month-to-month,Electronic check,Yes,36.33,1656.26,Yes
CUST-14986,Male,0,Yes,No,28,No,DSL,Month-to-month,Mailed check,Yes,70.45,1973.58,Yes
CUST-11458,Female,0,No,No,29,Yes,Fiber optic,Two year,Electronic check,No,69.85,2015.64,Yes
CUST-14787,Male,0,Yes,Yes,40,Yes,Fiber optic,Month-to-month,Mailed check,No,75.6,3050.48,No
CUST-10470,Male,0,No,No,10,Yes,DSL,One year,Electronic check,Yes,73.41,725.66,No
CUST-10194,Male,1,No,No,64,Yes,DSL,Month-to-month,Bank transfer (automatic),No,65.01,4142.15,No
CUST-10594,Female,0,No,No,64,Yes,DSL,One year,Bank transfer (automatic),Yes,47.4,3013.87,No
CUST-12565,Female,0,No,No,34,Yes,DSL,One year,Mailed check,No,46.37,1586.15,No
CUST-10145,Male,0,No,No,57,Yes,DSL,One year,Electronic check,Yes,52.93,3027.37,No
CUST-10722,Female,0,Yes,No,40,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),No,93.74,3746.73,No
CUST-12773,Female,0,Yes,No,10,Yes,DSL,One year,Mailed check,No,55.34,567.86,Yes
CUST-10876,Female,0,Yes,No,42,Yes,Fiber optic,One year,Credit card (automatic),Yes,77.84,3224.89,No
CUST-12035,Female,0,Yes,Yes,54,Yes,DSL,Month-to-month,Mailed check,No,61.43,3325.03,No
CUST-13213,Female,1,No,No,61,Yes,Fiber optic,Month-to-month,Credit card (automatic),Yes,79.94,4878.28,Yes
CUST-10807,Male,0,Yes,No,49,Yes,No,One year,Bank transfer (automatic),No,25.02,1270.89,No
CUST-14396,Female,0,Yes,Yes,51,Yes,DSL,Month-to-month,Bank transfer (automatic),No,64.42,3269.79,No
